Region,Period End,Is New Construction Transaction,Homes Sold,Homes Sold YoY,% of Total Homes Sold (copy) along Is New Construction Transaction,Inventory,Inventory YoY,New Listings,Median Sale Price,Median Sale Price YoY,Median Ppsf,Median Ppsf YoY,Median List Price,Median List Ppsf,Avg Sale To List,Sold Above List,Months Of Supply,Median Dom
"Richmond, VA metro area",1/31/2014,New Construction,474,30.60%,15.66%,859,-0.50%,521,"$310,133 ",8.80%,$125 ,5.00%,"$289,900 ",$125 ,102.30%,48.50%,2,85
"Richmond, VA metro area",12/31/2013,Existing,"2,798",4.10%,85.46%,"3,601",3.80%,"2,878","$177,750 ",3.30%,$102 ,6.20%,"$170,000 ",$103 ,96.40%,14.20%,1,40
"Richmond, VA metro area",12/31/2013,New Construction,476,18.10%,14.54%,852,-6.80%,545,"$316,048 ",5.40%,$128 ,7.00%,"$291,950 ",$124 ,102.20%,48.10%,2,83
"Richmond, VA metro area",11/30/2013,Existing,"2,851",6.50%,86.08%,"3,968",5.70%,"3,562","$180,000 ",4.20%,$102 ,4.60%,"$178,950 ",$105 ,96.70%,14.70%,1,35
"Richmond, VA metro area",11/30/2013,New Construction,461,27.30%,13.92%,877,-3.40%,611,"$316,000 ",9.40%,$125 ,7.30%,"$299,950 ",$127 ,102.30%,46.20%,2,84
"Richmond, VA metro area",10/31/2013,Existing,"3,203",10.80%,86.99%,"4,273",8.70%,"4,147","$190,000 ",9.40%,$105 ,6.20%,"$180,000 ",$106 ,97.00%,15.60%,1,32
"Richmond, VA metro area",10/31/2013,New Construction,479,25.70%,13.01%,876,-4.10%,646,"$319,295 ",14.70%,$126 ,9.30%,"$311,665 ",$128 ,102.10%,44.70%,2,82
"Richmond, VA metro area",9/30/2013,Existing,"3,602",15.50%,87.70%,"4,348",4.90%,"4,447","$194,950 ",8.30%,$107 ,6.60%,"$188,000 ",$105 ,97.20%,16.60%,1,29
"Richmond, VA metro area",9/30/2013,New Construction,505,35.00%,12.30%,876,-2.10%,654,"$310,000 ",16.60%,$124 ,8.00%,"$321,305 ",$127 ,102.10%,44.40%,2,81
"Richmond, VA metro area",8/31/2013,Existing,"4,005",13.20%,89.16%,"4,233",3.80%,"4,597","$200,000 ",6.70%,$108 ,6.50%,"$189,950 ",$106 ,97.30%,17.60%,1,26
"Richmond, VA metro area",8/31/2013,New Construction,487,27.80%,10.84%,849,-7.50%,635,"$301,330 ",6.40%,$123 ,5.10%,"$319,700 ",$126 ,101.60%,45.40%,2,88
"Richmond, VA metro area",7/31/2013,Existing,"4,093",13.90%,90.06%,"4,126",-0.70%,"4,965","$198,950 ",7.50%,$108 ,7.40%,"$198,875 ",$107 ,97.30%,18.10%,1,25
"Richmond, VA metro area",7/31/2013,New Construction,452,19.30%,9.94%,844,-11.30%,649,"$297,250 ",4.30%,$121 ,3.50%,"$315,425 ",$126 ,101.60%,46.00%,2,90
"Richmond, VA metro area",6/30/2013,Existing,"3,839",11.00%,90.29%,"4,010",-4.60%,"5,295","$193,000 ",5.90%,$106 ,6.90%,"$199,950 ",$109 ,97.20%,18.60%,1,27
"Richmond, VA metro area",6/30/2013,New Construction,413,13.50%,9.71%,845,-10.40%,657,"$292,500 ",7.90%,$120 ,4.60%,"$319,500 ",$127 ,101.70%,44.60%,2,98
"Richmond, VA metro area",5/31/2013,Existing,"3,335",8.50%,89.43%,"3,956",-8.20%,"5,364","$184,900 ",7.50%,$103 ,8.20%,"$199,950 ",$110 ,96.90%,17.30%,1,32
"Richmond, VA metro area",5/31/2013,New Construction,394,18.00%,10.57%,836,-10.90%,664,"$293,350 ",10.00%,$120 ,5.20%,"$307,983 ",$126 ,102.00%,42.20%,2,108
"Richmond, VA metro area",4/30/2013,Existing,"2,697",3.80%,88.08%,"3,813",-10.90%,"4,894","$173,950 ",4.90%,$99 ,5.60%,"$199,900 ",$108 ,96.40%,15.80%,1,42
"Richmond, VA metro area",4/30/2013,New Construction,365,36.70%,11.92%,853,-10.70%,650,"$308,742 ",14.40%,$122 ,5.60%,"$297,900 ",$124 ,102.40%,45.30%,2,119
"Richmond, VA metro area",3/31/2013,Existing,"2,289",2.10%,87.43%,"3,637",-12.00%,"4,193","$167,450 ",6.70%,$96 ,5.90%,"$189,000 ",$105 ,96.00%,13.90%,2,49
"Richmond, VA metro area",3/31/2013,New Construction,329,43.00%,12.57%,858,-10.80%,600,"$305,131 ",3.10%,$122 ,1.90%,"$288,950 ",$122 ,102.30%,47.30%,3,109
"Richmond, VA metro area",2/28/2013,Existing,"2,253",1.90%,86.03%,"3,543",-12.40%,"3,313","$166,550 ",4.90%,$94 ,3.60%,"$174,950 ",$102 ,95.80%,13.60%,2,49
"Richmond, VA metro area",2/28/2013,New Construction,366,28.90%,13.97%,880,-3.30%,548,"$292,231 ",2.50%,$121 ,4.80%,"$295,136 ",$122 ,102.30%,49.20%,2,80
"Richmond, VA metro area",1/31/2013,Existing,"2,472",9.10%,87.20%,"3,375",-16.60%,"2,898","$171,250 ",5.70%,$95 ,3.10%,"$164,900 ",$98 ,95.90%,13.60%,1,44
"Richmond, VA metro area",1/31/2013,New Construction,363,15.60%,12.80%,863,-0.80%,464,"$284,950 ",1.10%,$119 ,5.00%,"$295,968 ",$121 ,102.00%,49.90%,2,80
"Richmond, VA metro area",12/31/2012,Existing,"2,689",13.10%,86.97%,"3,469",-15.70%,"2,859","$172,000 ",4.20%,$96 ,2.90%,"$164,900 ",$97 ,96.00%,13.70%,1,43
"Richmond, VA metro area",12/31/2012,New Construction,403,24.40%,13.03%,914,10.90%,485,"$299,746 ",13.50%,$119 ,4.90%,"$284,000 ",$122 ,101.50%,48.60%,2,96
"Richmond, VA metro area",11/30/2012,Existing,"2,677",14.00%,88.09%,"3,755",-18.30%,"3,392","$172,720 ",3.70%,$97 ,3.70%,"$170,000 ",$99 ,96.10%,14.40%,1,43
"Richmond, VA metro area",11/30/2012,New Construction,362,16.80%,11.91%,908,4.40%,489,"$288,720 ",10.80%,$116 ,2.10%,"$281,320 ",$120 ,101.40%,45.90%,3,127
"Richmond, VA metro area",10/31/2012,Existing,"2,892",12.30%,88.36%,"3,930",-21.70%,"3,724","$173,675 ",1.00%,$99 ,2.10%,"$174,500 ",$100 ,96.30%,14.60%,1,43
"Richmond, VA metro area",10/31/2012,New Construction,381,15.50%,11.64%,913,6.20%,561,"$278,415 ",3.80%,$115 ,-0.40%,"$291,924 ",$119 ,100.80%,44.10%,2,107
"Richmond, VA metro area",9/30/2012,Existing,"3,118",12.90%,89.29%,"4,145",-21.00%,"3,905","$180,000 ",0.00%,$100 ,0.40%,"$174,500 ",$100 ,96.30%,14.30%,1,40
"Richmond, VA metro area",9/30/2012,New Construction,374,4.80%,10.71%,895,5.00%,586,"$265,924 ",-6.00%,$115 ,0.50%,"$289,540 ",$116 ,100.90%,42.20%,2,84
"Richmond, VA metro area",8/31/2012,Existing,"3,539",15.50%,90.28%,"4,078",-27.70%,"4,056","$187,500 ",1.40%,$102 ,0.30%,"$174,950 ",$100 ,96.50%,14.40%,1,37
"Richmond, VA metro area",8/31/2012,New Construction,381,9.80%,9.72%,918,4.30%,611,"$283,163 ",-3.30%,$117 ,1.90%,"$285,143 ",$116 ,100.90%,41.70%,2,81
"Richmond, VA metro area",7/31/2012,Existing,"3,592",15.60%,90.46%,"4,155",-29.10%,"4,359","$185,000 ",2.90%,$101 ,1.00%,"$179,900 ",$101 ,96.50%,14.80%,1,38
"Richmond, VA metro area",7/31/2012,New Construction,379,17.70%,9.54%,951,7.80%,577,"$285,000 ",5.30%,$117 ,2.60%,"$269,000 ",$116 ,101.40%,39.80%,3,98
"Richmond, VA metro area",6/30/2012,Existing,"3,458",15.80%,90.48%,"4,202",-30.30%,"4,677","$182,250 ",4.10%,$99 ,1.20%,"$184,950 ",$103 ,96.40%,14.90%,1,40
"Richmond, VA metro area",6/30/2012,New Construction,364,20.90%,9.52%,943,3.10%,529,"$271,128 ",-1.40%,$115 ,-1.00%,"$263,225 ",$116 ,101.30%,37.60%,3,115
"Richmond, VA metro area",5/31/2012,Existing,"3,073",14.10%,90.20%,"4,308",-29.10%,"4,945","$172,000 ",0.00%,$96 ,-0.90%,"$189,500 ",$104 ,96.00%,15.00%,1,47
"Richmond, VA metro area",5/31/2012,New Construction,334,20.10%,9.80%,938,2.60%,615,"$266,745 ",-2.50%,$114 ,-2.50%,"$251,769 ",$118 ,100.70%,36.80%,3,134
"Richmond, VA metro area",4/30/2012,Existing,"2,599",13.10%,90.68%,"4,278",-30.40%,"4,640","$165,880 ",-1.60%,$93 ,0.10%,"$189,000 ",$103 ,95.50%,14.60%,2,56
"Richmond, VA metro area",4/30/2012,New Construction,267,8.50%,9.32%,955,5.30%,657,"$269,950 ",-6.10%,$116 ,-0.90%,"$249,950 ",$116 ,99.60%,31.10%,4,139
"Richmond, VA metro area",3/31/2012,Existing,"2,243",8.10%,90.70%,"4,131",,"4,266","$157,000 ",-4.80%,$91 ,-2.20%,"$180,000 ",$102 ,95.10%,14.70%,2,66
"Richmond, VA metro area",3/31/2012,New Construction,230,-3.40%,9.30%,962,,707,"$295,885 ",5.70%,$120 ,2.80%,"$244,950 ",$116 ,99.30%,33.00%,4,123
"Richmond, VA metro area",2/29/2012,Existing,"2,210",,88.61%,"4,046",,"3,328","$158,750 ",,$91 ,,"$169,900 ",$97 ,94.90%,12.90%,2,67
"Richmond, VA metro area",2/29/2012,New Construction,284,,11.39%,910,,574,"$285,000 ",,$115 ,,"$247,970 ",$114 ,99.90%,33.80%,3,96
"Richmond, VA metro area",1/31/2012,Existing,"2,266",,87.83%,"4,045",,"2,946","$162,000 ",,$93 ,,"$162,250 ",$94 ,95.00%,12.80%,2,68
"Richmond, VA metro area",1/31/2012,New Construction,314,,12.17%,870,,517,"$281,750 ",,$114 ,,"$243,470 ",$112 ,100.30%,34.40%,3,97
"Richmond, VA metro area",12/31/2011,Existing,"2,377",,88.00%,"4,116",,"2,856","$165,000 ",,$93 ,,"$160,475 ",$95 ,95.10%,12.30%,2,69
"Richmond, VA metro area",12/31/2011,New Construction,324,,12.00%,824,,459,"$264,000 ",,$114 ,,"$255,990 ",$115 ,100.70%,34.00%,3,91
"Richmond, VA metro area",11/30/2011,Existing,"2,349",,88.34%,"4,597",,"3,178","$166,500 ",,$94 ,,"$169,950 ",$98 ,95.20%,11.70%,2,69
"Richmond, VA metro area",11/30/2011,New Construction,310,,11.66%,870,,469,"$260,475 ",,$114 ,,"$264,122 ",$117 ,100.50%,34.80%,3,104
"Richmond, VA metro area",10/31/2011,Existing,"2,576",,88.64%,"5,016",,"3,557","$172,000 ",,$97 ,,"$174,900 ",$99 ,95.20%,10.80%,2,69
"Richmond, VA metro area",10/31/2011,New Construction,330,,11.36%,860,,507,"$268,263 ",,$116 ,,"$284,990 ",$121 ,100.50%,35.80%,3,105
"Richmond, VA metro area",9/30/2011,Existing,"2,762",,88.55%,"5,246",,"3,681","$180,000 ",,$100 ,,"$174,700 ",$99 ,95.30%,10.30%,2,67
"Richmond, VA metro area",9/30/2011,New Construction,357,,11.45%,852,,482,"$282,900 ",,$114 ,,"$279,875 ",$117 ,100.10%,35.90%,2,115
"Richmond, VA metro area",8/31/2011,Existing,"3,065",,89.83%,"5,644",,"4,095","$185,000 ",,$101 ,,"$174,999 ",$100 ,95.40%,11.30%,2,64
"Richmond, VA metro area",8/31/2011,New Construction,347,,10.17%,880,,515,"$292,946 ",,$115 ,,"$263,588 ",$117 ,100.10%,33.70%,3,124
"Richmond, VA metro area",7/31/2011,Existing,"3,106",,90.61%,"5,858",,"4,332","$179,825 ",,$100 ,,"$180,000 ",$103 ,95.40%,12.40%,2,62
"Richmond, VA metro area",7/31/2011,New Construction,322,,9.39%,882,,511,"$270,551 ",,$114 ,,"$249,950 ",$114 ,99.70%,32.00%,3,151
"Richmond, VA metro area",6/30/2011,Existing,"2,985",,90.84%,"6,028",,"4,732","$175,000 ",,$98 ,,"$189,000 ",$105 ,95.40%,12.80%,2,69
"Richmond, VA metro area",6/30/2011,New Construction,301,,9.16%,915,,529,"$275,000 ",,$116 ,,"$244,950 ",$113 ,99.60%,31.20%,3,164
"Richmond, VA metro area",5/31/2011,Existing,"2,693",,90.64%,"6,077",,"5,090","$172,000 ",,$96 ,,"$194,000 ",$107 ,95.20%,12.80%,2,82
"Richmond, VA metro area",5/31/2011,New Construction,278,,9.36%,914,,548,"$273,500 ",,$117 ,,"$249,000 ",$113 ,99.20%,30.90%,3,168
"Richmond, VA metro area",4/30/2011,Existing,"2,298",,90.33%,"6,143",,"4,964","$168,500 ",,$93 ,,"$189,900 ",$106 ,94.90%,12.10%,3,89
"Richmond, VA metro area",4/30/2011,New Construction,246,,9.67%,907,,514,"$287,621 ",,$117 ,,"$254,950 ",$114 ,99.10%,32.50%,4,156
